src_claim_id,dst_claim_id,src_paper,src_kind,src_label,src_section,src_line_start,src_line_end,dst_paper,dst_kind,dst_label,dst_section,dst_line_start,dst_line_end
GLC1:corollary:c:bdd right,GLC1:theorem:t:L coarse left exact Nilp,GLC1,corollary,c:bdd right,Construction of the Langlands functor (de Rham context),1997,1999,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:corollary:c:bdd right,GLC1:theorem:t:compact to bdd below dr,GLC1,corollary,c:bdd right,Construction of the Langlands functor (de Rham context),1997,1999,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:remark:r:left ampl,GLC1:theorem:t:L coarse left exact,GLC1,remark,r:left ampl,Proof of \thmref{t:compact to bdd below dr},2025,2040,GLC1,theorem,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},2020,2023
GLC1:remark:auto0021@L2051,GLC1:proposition:p:compact bdd below,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2051,2066,GLC1,proposition,p:compact bdd below,Proof of \thmref{t:compact to bdd below dr},2016,2018
GLC1:remark:auto0021@L2051,GLC1:proposition:p:when >0,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2051,2066,GLC1,proposition,p:when >0,Proof of \thmref{t:compact to bdd below dr},2218,2243
GLC1:remark:auto0021@L2051,GLC1:theorem:t:L coarse left exact,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2051,2066,GLC1,theorem,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},2020,2023
GLC1:remark:auto0021@L2051,GLC1:theorem:t:L coarse left exact Nilp,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2051,2066,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:remark:auto0023@L2245,GLC1:proposition:p:when >0,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2245,2248,GLC1,proposition,p:when >0,Proof of \thmref{t:compact to bdd below dr},2218,2243
GLC1:remark:auto0023@L2245,GLC1:theorem:t:L coarse left exact,GLC1,remark,,Proof of \thmref{t:compact to bdd below dr},2245,2248,GLC1,theorem,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},2020,2023
GLC1:theorem:t:L coarse left exact Nilp,GLC1:theorem:t:L coarse left exact,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336,GLC1,theorem,t:L coarse left exact,Proof of \thmref{t:compact to bdd below dr},2020,2023
GLC1:remark:r:right ampl,GLC1:proposition:p:bdd right,GLC1,remark,r:right ampl,Proof of \thmref{t:compact to bdd below dr},2340,2350,GLC1,proposition,p:bdd right,Construction of the Langlands functor (de Rham context),1987,1990
GLC1:remark:r:right ampl,GLC1:proposition:p:when >0,GLC1,remark,r:right ampl,Proof of \thmref{t:compact to bdd below dr},2340,2350,GLC1,proposition,p:when >0,Proof of \thmref{t:compact to bdd below dr},2218,2243
GLC1:proposition:p:when <0,GLC1:proposition:p:bdd right,GLC1,proposition,p:when <0,Proof of \thmref{t:compact to bdd below dr},2469,2478,GLC1,proposition,p:bdd right,Construction of the Langlands functor (de Rham context),1987,1990
GLC1:proposition:p:when <0,GLC1:proposition:p:when >0,GLC1,proposition,p:when <0,Proof of \thmref{t:compact to bdd below dr},2469,2478,GLC1,proposition,p:when >0,Proof of \thmref{t:compact to bdd below dr},2218,2243
GLC1:proposition:p:when <0,GLC1:theorem:t:L coarse left exact Nilp,GLC1,proposition,p:when <0,Proof of \thmref{t:compact to bdd below dr},2469,2478,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:remark:r:exp r/T,GLC1:remark:r:Kir,GLC1,remark,r:exp r/T,Geometric Langlands functor in the Betti context,2684,2692,GLC1,remark,r:Kir,Geometric Langlands functor in the Betti context,2651,2655
GLC1:remark:r:exp chi/T,GLC1:remark:r:exp r/T,GLC1,remark,r:exp chi/T,Geometric Langlands functor in the Betti context,2716,2722,GLC1,remark,r:exp r/T,Geometric Langlands functor in the Betti context,2684,2692
GLC1:proposition:p:Poinc Nilp comp,GLC1:theorem:t:compact to bdd below dr,GLC1,proposition,p:Poinc Nilp comp,Geometric Langlands functor in the Betti context,2738,2741,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:theorem:t:dR => Betti,GLC1:theorem:t:dR => Betti bis,GLC1,theorem,t:dR => Betti,Geometric Langlands functor in the Betti context,2857,2859,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:theorem:t:dR => Betti bis,GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928,GLC1,proposition,p:L coarse left exact Nilp Betti,Proof of \thmref{t:compact to bdd below Betti},3029,3031
GLC1:theorem:t:dR => Betti bis,GLC1:proposition:p:delta funs,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928,GLC1,proposition,p:delta funs,Proof of \thmref{t:compact to bdd below Betti},3023,3027
GLC1:theorem:t:dR => Betti bis,GLC1:theorem:t:compact to bdd below Betti,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928,GLC1,theorem,t:compact to bdd below Betti,Geometric Langlands functor in the Betti context,2801,2806
GLC1:remark:auto0039@L3033,GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3033,3039,GLC1,proposition,p:L coarse left exact Nilp Betti,Proof of \thmref{t:compact to bdd below Betti},3029,3031
GLC1:remark:auto0039@L3033,GLC1:theorem:t:L coarse left exact Nilp,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3033,3039,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:lemma:e:RH diag coarse,GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,lemma,e:RH diag coarse,Proof of \thmref{t:compact to bdd below Betti},3076,3086,GLC1,proposition,p:L coarse left exact Nilp Betti,Proof of \thmref{t:compact to bdd below Betti},3029,3031
GLC1:lemma:e:RH diag coarse,GLC1:remark:r:exp chi/T,GLC1,lemma,e:RH diag coarse,Proof of \thmref{t:compact to bdd below Betti},3076,3086,GLC1,remark,r:exp chi/T,Geometric Langlands functor in the Betti context,2716,2722
GLC1:remark:auto0041@L3103,GLC1:lemma:e:RH diag coarse,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,lemma,e:RH diag coarse,Proof of \thmref{t:compact to bdd below Betti},3076,3086
GLC1:remark:auto0041@L3103,GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,proposition,p:L coarse left exact Nilp Betti,Proof of \thmref{t:compact to bdd below Betti},3029,3031
GLC1:remark:auto0041@L3103,GLC1:proposition:p:compact bdd below,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,proposition,p:compact bdd below,Proof of \thmref{t:compact to bdd below dr},2016,2018
GLC1:remark:auto0041@L3103,GLC1:proposition:p:delta funs,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,proposition,p:delta funs,Proof of \thmref{t:compact to bdd below Betti},3023,3027
GLC1:remark:auto0041@L3103,GLC1:theorem:t:compact to bdd below Betti,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,theorem,t:compact to bdd below Betti,Geometric Langlands functor in the Betti context,2801,2806
GLC1:remark:auto0041@L3103,GLC1:theorem:t:compact to bdd below dr,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,theorem,t:compact to bdd below dr,Construction of the Langlands functor (de Rham context),1808,1813
GLC1:remark:auto0041@L3103,GLC1:theorem:t:dR => Betti bis,GLC1,remark,,Proof of \thmref{t:compact to bdd below Betti},3103,3106,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:lemma:l:Beil,GLC1:proposition:p:delta funs,GLC1,lemma,l:Beil,Proof of \thmref{t:compact to bdd below Betti},3203,3208,GLC1,proposition,p:delta funs,Proof of \thmref{t:compact to bdd below Betti},3023,3027
GLC1:remark:e:forget constr,GLC1:lemma:l:Beil,GLC1,remark,e:forget constr,Proof of \thmref{t:compact to bdd below Betti},3235,3246,GLC1,lemma,l:Beil,Proof of \thmref{t:compact to bdd below Betti},3203,3208
GLC1:remark:e:forget constr,GLC1:proposition:p:compact bdd below,GLC1,remark,e:forget constr,Proof of \thmref{t:compact to bdd below Betti},3235,3246,GLC1,proposition,p:compact bdd below,Proof of \thmref{t:compact to bdd below dr},2016,2018
GLC1:remark:e:forget constr,GLC1:proposition:p:delta funs,GLC1,remark,e:forget constr,Proof of \thmref{t:compact to bdd below Betti},3235,3246,GLC1,proposition,p:delta funs,Proof of \thmref{t:compact to bdd below Betti},3023,3027
GLC1:remark:e:forget constr,GLC1:theorem:t:dR => Betti bis,GLC1,remark,e:forget constr,Proof of \thmref{t:compact to bdd below Betti},3235,3246,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:remark:auto0048@L3520,GLC1:theorem:t:dR => Betti bis,GLC1,remark,,Restricted vs full GLC,3520,3529,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:proposition:p:images,GLC1:proposition:p:uR ff on compacts,GLC1,proposition,p:images,Restricted vs full GLC,3581,3586,GLC1,proposition,p:uR ff on compacts,Restricted vs full GLC,3575,3579
GLC1:lemma:l:temp and Eis gen,GLC1:proposition:p:images,GLC1,lemma,l:temp and Eis gen,Restricted vs full GLC,3712,3716,GLC1,proposition,p:images,Restricted vs full GLC,3581,3586
GLC1:lemma:l:Eis,GLC1:proposition:p:images,GLC1,lemma,l:Eis,Restricted vs full GLC,3798,3809,GLC1,proposition,p:images,Restricted vs full GLC,3581,3586
GLC1:lemma:l:Eis,GLC1:theorem:t:dR => Betti bis,GLC1,lemma,l:Eis,Restricted vs full GLC,3798,3809,GLC1,theorem,t:dR => Betti bis,Geometric Langlands functor in the Betti context,2909,2928
GLC1:proposition:p:images Betti,GLC1:proposition:p:images,GLC1,proposition,p:images Betti,Restricted vs full GLC,3843,3849,GLC1,proposition,p:images,Restricted vs full GLC,3581,3586
GLC1:proposition:p:images Betti,GLC1:proposition:p:uR ff on compacts,GLC1,proposition,p:images Betti,Restricted vs full GLC,3843,3849,GLC1,proposition,p:uR ff on compacts,Restricted vs full GLC,3575,3579
GLC1:proposition:p:images Betti,GLC1:proposition:p:uR ff on compacts Betti,GLC1,proposition,p:images Betti,Restricted vs full GLC,3843,3849,GLC1,proposition,p:uR ff on compacts Betti,Restricted vs full GLC,3836,3841
GLC1:proposition:p:images Betti,GLC1:theorem:t:L coarse left exact Nilp,GLC1,proposition,p:images Betti,Restricted vs full GLC,3843,3849,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:remark:auto0056@L4059,GLC1:lemma:l:Eis,GLC1,remark,,The structure of Hecke eigensheaves,4059,4067,GLC1,lemma,l:Eis,Restricted vs full GLC,3798,3809
GLC1:remark:auto0056@L4059,GLC1:theorem:t:L coarse left exact Nilp,GLC1,remark,,The structure of Hecke eigensheaves,4059,4067,GLC1,theorem,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},2331,2336
GLC1:remark:auto0056@L4059,GLC1:theorem:t:eigensheaves,GLC1,remark,,The structure of Hecke eigensheaves,4059,4067,GLC1,theorem,t:eigensheaves,The structure of Hecke eigensheaves,3983,4041
GLC1:remark:auto0059@L4193,GLC1:theorem:t:cc-cts,GLC1,remark,,The structure of Hecke eigensheaves,4193,4198,GLC1,theorem,t:cc-cts,The structure of Hecke eigensheaves,4168,4175
GLC1:remark:auto0059@L4193,GLC1:theorem:t:cc-existence,GLC1,remark,,The structure of Hecke eigensheaves,4193,4198,GLC1,theorem,t:cc-existence,The structure of Hecke eigensheaves,4179,4186
GLC1:theorem:t:microstalk,GLC1:theorem:t:eigensheaves,GLC1,theorem,t:microstalk,The structure of Hecke eigensheaves,4224,4242,GLC1,theorem,t:eigensheaves,The structure of Hecke eigensheaves,3983,4041
GLC2:theorem:t:main intro,GLC2:proposition:p:IndCoh Op via fact almost,GLC2,theorem,t:main intro,Introduction,730,739,GLC2,proposition,p:IndCoh Op via fact almost,Digression: \texorpdfstring{$\IndCoh^*$}{IndCoh*} via factorization algebras,5257,5270
GLC2:theorem:t:main intro,GLC2:proposition:p:Sph to unr Whit,GLC2,theorem,t:main intro,Introduction,730,739,GLC2,proposition,p:Sph to unr Whit,Proof of the pointwise version of the critical FLE,8813,8824
GLC2:theorem:t:main intro,GLC2:remark:r:spectral action,GLC2,theorem,t:main intro,Introduction,730,739,GLC2,remark,r:spectral action,Introduction,1244,1254
GLC2:theorem:t:main intro,GLC2:theorem:t:critical FLE,GLC2,theorem,t:main intro,Introduction,730,739,GLC2,theorem,t:critical FLE,The critical FLE,7087,7089
GLC2:remark:auto0003@L1104,GLC2:corollary:c:Hecke crit Loc ult,GLC2,remark,,Introduction,1104,1114,GLC2,corollary,c:Hecke crit Loc ult,The Hecke eigen-property of critical localization,17542,17546
GLC2:remark:auto0003@L1104,GLC2:remark:r:unitality qft,GLC2,remark,,Introduction,1104,1114,GLC2,remark,r:unitality qft,Digression: local-to-global functors and unitality,12415,12444
GLC2:remark:auto0003@L1104,GLC2:theorem:t:int loc over BunN kappa chi,GLC2,remark,,Introduction,1104,1114,GLC2,theorem,t:int loc over BunN kappa chi,Properties of the localization functor,15135,15148
GLC2:remark:auto0003@L1104,GLC2:theorem:t:main intro,GLC2,remark,,Introduction,1104,1114,GLC2,theorem,t:main intro,Introduction,730,739
GLC2:remark:auto0004@L1235,GLC2:theorem:t:main intro,GLC2,remark,,Introduction,1235,1242,GLC2,theorem,t:main intro,Introduction,730,739
GLC2:remark:r:spectral action,GLC2:theorem:t:FF,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:FF,The Feigin-Frenkel isomorphism and its applications,6418,6421
GLC2:remark:r:spectral action,GLC2:theorem:t:birth,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:birth,The Feigin-Frenkel isomorphism and its applications,6503,6506
GLC2:remark:r:spectral action,GLC2:theorem:t:geom CS,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:geom CS,Geometric Satake and Casselman-Shalika formula: recollections,2136,2139
GLC2:remark:r:spectral action,GLC2:theorem:t:geom Satake,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:geom Satake,Geometric Satake and Casselman-Shalika formula: recollections,2543,2549
GLC2:remark:r:spectral action,GLC2:theorem:t:ins vac reg,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:ins vac reg,The Hecke eigen-property of critical localization,17010,17039
GLC2:remark:r:spectral action,GLC2:theorem:t:main intro,GLC2,remark,r:spectral action,Introduction,1244,1254,GLC2,theorem,t:main intro,Introduction,730,739
GLC2:remark:r:Pfaff bis,GLC2:remark:r:Pfaff,GLC2,remark,r:Pfaff bis,Geometric Satake and Casselman-Shalika formula: recollections,1771,1779,GLC2,remark,r:Pfaff,Geometric Satake and Casselman-Shalika formula: recollections,1732,1740
GLC2:remark:auto0008@L1842,GLC2:remark:r:Pfaff,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,1842,1850,GLC2,remark,r:Pfaff,Geometric Satake and Casselman-Shalika formula: recollections,1732,1740
GLC2:remark:auto0011@L2037,GLC2:theorem:t:Whit self-dual,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2037,2040,GLC2,theorem,t:Whit self-dual,Geometric Satake and Casselman-Shalika formula: recollections,2091,2093
GLC2:remark:r:indep char,GLC2:theorem:t:Whit self-dual gen,GLC2,remark,r:indep char,Geometric Satake and Casselman-Shalika formula: recollections,2055,2069,GLC2,theorem,t:Whit self-dual gen,Geometric Satake and Casselman-Shalika formula: recollections,2033,2035
GLC2:remark:auto0015@L2141,GLC2:remark:r:CS again,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2141,2146,GLC2,remark,r:CS again,Geometric Satake and Casselman-Shalika formula: recollections,2592,2606
GLC2:remark:auto0015@L2141,GLC2:theorem:t:geom CS,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2141,2146,GLC2,theorem,t:geom CS,Geometric Satake and Casselman-Shalika formula: recollections,2136,2139
GLC2:remark:auto0017@L2180,GLC2:theorem:t:geom CS,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2180,2183,GLC2,theorem,t:geom CS,Geometric Satake and Casselman-Shalika formula: recollections,2136,2139
GLC2:remark:auto0020@L2244,GLC2:lemma:l:CS and duality,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2244,2256,GLC2,lemma,l:CS and duality,Geometric Satake and Casselman-Shalika formula: recollections,2237,2242
GLC2:remark:auto0023@L2571,GLC2:theorem:t:geom CS,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2571,2576,GLC2,theorem,t:geom CS,Geometric Satake and Casselman-Shalika formula: recollections,2136,2139
GLC2:remark:auto0023@L2571,GLC2:theorem:t:geom Satake,GLC2,remark,,Geometric Satake and Casselman-Shalika formula: recollections,2571,2576,GLC2,theorem,t:geom Satake,Geometric Satake and Casselman-Shalika formula: recollections,2543,2549
GLC2:remark:r:CS again,GLC2:lemma:l:CS and duality,GLC2,remark,r:CS again,Geometric Satake and Casselman-Shalika formula: recollections,2592,2606,GLC2,lemma,l:CS and duality,Geometric Satake and Casselman-Shalika formula: recollections,2237,2242
GLC2:remark:r:CS again,GLC2:theorem:t:geom Satake,GLC2,remark,r:CS again,Geometric Satake and Casselman-Shalika formula: recollections,2592,2606,GLC2,theorem,t:geom Satake,Geometric Satake and Casselman-Shalika formula: recollections,2543,2549
GLC2:corollary:c:sigma and Sat,GLC2:lemma:l:CS and duality,GLC2,corollary,c:sigma and Sat,Geometric Satake and Casselman-Shalika formula: recollections,2616,2627,GLC2,lemma,l:CS and duality,Geometric Satake and Casselman-Shalika formula: recollections,2237,2242
GLC2:corollary:c:geom Sat tau,GLC2:corollary:c:sigma and Sat,GLC2,corollary,c:geom Sat tau,Geometric Satake and Casselman-Shalika formula: recollections,2649,2654,GLC2,corollary,c:sigma and Sat,Geometric Satake and Casselman-Shalika formula: recollections,2616,2627
GLC2:remark:auto0028@L2941,GLC2:remark:r:indep char,GLC2,remark,,Kac-Moody modules and the Kazhdan-Lusztig category,2941,2946,GLC2,remark,r:indep char,Geometric Satake and Casselman-Shalika formula: recollections,2055,2069
GLC2:remark:auto0030@L2958,GLC2:lemma:l:DS on KL exact,GLC2,remark,,Kac-Moody modules and the Kazhdan-Lusztig category,2958,2961,GLC2,lemma,l:DS on KL exact,Kac-Moody modules and the Kazhdan-Lusztig category,2952,2956
GLC2:remark:auto0030@L2958,GLC2:remark:r:indep char,GLC2,remark,,Kac-Moody modules and the Kazhdan-Lusztig category,2958,2961,GLC2,remark,r:indep char,Geometric Satake and Casselman-Shalika formula: recollections,2055,2069
GLC2:lemma:l:Op form smooth over LS,GLC2:lemma:l:LS formall smooth,GLC2,lemma,l:Op form smooth over LS,Ind-coherent sheaves on monodromy-free opers,3407,3409,GLC2,lemma,l:LS formall smooth,Factorization patterns,23864,23866
GLC2:corollary:c:mf formally smooth,GLC2:corollary:c:placid inherited,GLC2,corollary,c:mf formally smooth,Ind-coherent sheaves on monodromy-free opers,3485,3488,GLC2,corollary,c:placid inherited,Ind-coherent sheaves in infinite type,22668,22671
GLC2:corollary:c:mf formally smooth,GLC2:lemma:l:LS reg to LS mer,GLC2,corollary,c:mf formally smooth,Ind-coherent sheaves on monodromy-free opers,3485,3488,GLC2,lemma,l:LS reg to LS mer,Factorization patterns,23974,23976
GLC2:proposition:p:mon-free to all,GLC2:corollary:c:mf formally smooth,GLC2,proposition,p:mon-free to all,Ind-coherent sheaves on monodromy-free opers,3657,3669,GLC2,corollary,c:mf formally smooth,Ind-coherent sheaves on monodromy-free opers,3485,3488
GLC2:remark:r:Op mf comonadic,GLC2:proposition:p:mon-free to all,GLC2,remark,r:Op mf comonadic,Ind-coherent sheaves on monodromy-free opers,3749,3760,GLC2,proposition,p:mon-free to all,Ind-coherent sheaves on monodromy-free opers,3657,3669
GLC2:remark:auto0037@L3815,GLC2:lemma:l:unit determines strict,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,3815,3846,GLC2,lemma,l:unit determines strict,Unital structures,29862,29865
GLC2:remark:auto0037@L3815,GLC2:remark:r:Op mf comonadic,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,3815,3846,GLC2,remark,r:Op mf comonadic,Ind-coherent sheaves on monodromy-free opers,3749,3760
GLC2:remark:auto0047@L4470,GLC2:lemma:l:Op duality all Opers,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,4470,4475,GLC2,lemma,l:Op duality all Opers,Ind-coherent sheaves on monodromy-free opers,4310,4313
GLC2:remark:auto0047@L4470,GLC2:lemma:l:hom category,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,4470,4475,GLC2,lemma,l:hom category,Ind-coherent sheaves on monodromy-free opers,4144,4146
GLC2:remark:auto0047@L4470,GLC2:proposition:p:Op duality mon-free Opers,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,4470,4475,GLC2,proposition,p:Op duality mon-free Opers,Ind-coherent sheaves on monodromy-free opers,4391,4393
GLC2:remark:auto0047@L4470,GLC2:proposition:p:ten prod property,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,4470,4475,GLC2,proposition,p:ten prod property,Ind-coherent sheaves on monodromy-free opers,4128,4130
GLC2:lemma:l:Ups Op,GLC2:lemma:l:Op duality all Opers,GLC2,lemma,l:Ups Op,Ind-coherent sheaves on monodromy-free opers,4579,4581,GLC2,lemma,l:Op duality all Opers,Ind-coherent sheaves on monodromy-free opers,4310,4313
GLC2:remark:auto0050@L4589,GLC2:lemma:l:Ups Op,GLC2,remark,,Ind-coherent sheaves on monodromy-free opers,4589,4593,GLC2,lemma,l:Ups Op,Ind-coherent sheaves on monodromy-free opers,4579,4581
GLC2:proposition:p:IndCoh mf as QCoh ten prod,GLC2:proposition:p:Ups mon-free Op,GLC2,proposition,p:IndCoh mf as QCoh ten prod,Ind-coherent sheaves on monodromy-free opers,4674,4676,GLC2,proposition,p:Ups mon-free Op,Ind-coherent sheaves on monodromy-free opers,4599,4601
GLC2:proposition:p:IndCoh mf as QCoh ten prod,GLC2:question:q:Ups fact,GLC2,proposition,p:IndCoh mf as QCoh ten prod,Ind-coherent sheaves on monodromy-free opers,4674,4676,GLC2,question,q:Ups fact,Ind-coherent sheaves on monodromy-free opers,4652,4656
GLC2:question:auto0054@L4703,GLC2:lemma:l:hom category,GLC2,question,,Ind-coherent sheaves on monodromy-free opers,4703,4708,GLC2,lemma,l:hom category,Ind-coherent sheaves on monodromy-free opers,4144,4146
GLC2:question:auto0054@L4703,GLC2:theorem:t:FF,GLC2,question,,Ind-coherent sheaves on monodromy-free opers,4703,4708,GLC2,theorem,t:FF,The Feigin-Frenkel isomorphism and its applications,6418,6421
GLC2:remark:auto0055@L4801,GLC2:lemma:l:enhancement modules,GLC2,remark,,Digression: \texorpdfstring{$\IndCoh^*$}{IndCoh*} via factorization algebras,4801,4812,GLC2,lemma,l:enhancement modules,Unital structures,30626,30629
GLC2:lemma:l:plus part KM,GLC2:corollary:c:from QCoh * to fact placid,GLC2,lemma,l:plus part KM,Digression: \texorpdfstring{$\IndCoh^*$}{IndCoh*} via factorization algebras,4874,4889,GLC2,corollary,c:from QCoh * to fact placid,Digression: \texorpdfstring{$\IndCoh^*$}{IndCoh*} via factorization algebras,5071,5083
GLC2:theorem:t:from QCoh star to fact,GLC2:lemma:l:Psi IndCoh* IndSch,GLC2,theorem,t:from QCoh star to fact,Digression: \texorpdfstring{$\IndCoh^*$}{IndCoh*} via factorization algebras,5030,5034,GLC2,lemma,l:Psi IndCoh* IndSch,Ind-coherent sheaves in infinite type,22481,22484
