claim_id,paper_key,env,kind,opt_title,label,section,subsection,subsubsection,statement_preview,statement_sha256,tex_file,line_start,line_end
GLC1:remark:r:left ampl,GLC1,rem,remark,,r:left ampl,Proof of \thmref{t:compact to bdd below dr},,,"\label{r:left ampl} In the course of the proof we will see that the integer $d$ in \thmref{t:L coarse left exact} can be taken to be the dimension of the classical algebraic stack underlying $\LS_\cG$ plus $\dim(\Bun_{N,\rho(\omega_X)})$ minus $\dim(\Bun_G)$. \medskip Note that w…",d37dbb330da2bf15aeee7a846f1ff644c17db15049502db77a3a000ab0b06870,gaits1.tex,2025,2040
GLC1:question:auto0020@L2047,GLC1,quest,question,,,Proof of \thmref{t:compact to bdd below dr},,,"What is the actual bound on the left amplitude of $\BL_{G,\on{coarse}}$?",3c155c342c95fac76003cd4ac35ee04a1ce2d5174ec2ed300866465ae4d72545,gaits1.tex,2047,2049
GLC1:remark:auto0021@L2051,GLC1,rem,remark,,,Proof of \thmref{t:compact to bdd below dr},,,"Note that \thmref{t:L coarse left exact} does \emph{not} imply that the functor $\BL_G$ has a bounded cohomological amplitude on the left. In fact, this amplitude \emph{is} unbounded, unless $G$ is a torus. \medskip Namely, we claim the ``constant sheaf"""" $\ul{k}_{\Bun_G}\in \Dmo…",8add0b8bf3f8dd7924911b094a09873bffdb6cfff477791ee806161ac28da506,gaits1.tex,2051,2066
GLC1:proposition:p:when >0,GLC1,prop,proposition,,p:when >0,Proof of \thmref{t:compact to bdd below dr},,,"\label{p:when >0} Let $\CY$ be an eventually coconnective algebraic stack. Let $\CM$ be an object of $\QCoh(\CY)$ such that for every field extension $k\subset k'$ and a $k'$-point $y$ of $\CY$, we have: $$i_y^!(\CM')\in \Vect_{k'}^{\geq 0},$$ where: \begin{itemize} \item $\CM'$…",644cf86142c4f51d9ccc10fbe1f687fb9dc44c34fb57cfe1316e153e08170910,gaits1.tex,2218,2243
GLC1:remark:auto0023@L2245,GLC1,rem,remark,,,Proof of \thmref{t:compact to bdd below dr},,,"In practice, the fields $k'$ that will appear are fields of rational functions on irreducible subschemes of an affine scheme $Y$ that smoothly covers $\CY$.",20c95bba10c64bdcb04dd55120adb8b13f881d0612e08d3dc3699f14d3e623f1,gaits1.tex,2245,2248
GLC1:theorem:t:L coarse left exact Nilp,GLC1,thm,theorem,,t:L coarse left exact Nilp,Proof of \thmref{t:compact to bdd below dr},,,"\label{t:L coarse left exact Nilp} The functor $$\BL^{\on{restr}}_{G,\on{coarse}}[\dim(\Bun_G)-\dim(\Bun_{N,\rho(\omega_X)})]:\Dmod_{\frac{1}{2},\Nilp}(\Bun_G) \to \QCoh(\LS^{\on{restr}}_\cG).$$ is t-exact.",5de9595e2fa8f29648d23b4c6d26305bd5a7e572af634d20d524b803c854f9fe,gaits1.tex,2331,2336
GLC1:remark:r:right ampl,GLC1,rem,remark,,r:right ampl,Proof of \thmref{t:compact to bdd below dr},,,"\label{r:right ampl} We emphasize that, unlike $\BL^{\on{restr}}_{G,\on{coarse}}$, the functor $\BL_{G,\on{coarse}}$ (shifted cohomologically by $[\dim(\Bun_G)-\dim(\Bun_{N,\rho(\omega_X)})]$), is \emph{not} right t-exact. One can see this already when $G=\BG_m$, in which case $\…",fa240bb60d503909e403e086424924d265eb76600f290e932f13faca2fb935be,gaits1.tex,2340,2350
GLC1:proposition:p:when <0,GLC1,prop,proposition,,p:when <0,Proof of \thmref{t:compact to bdd below dr},,,"\label{p:when <0} Let $\CY$ be an eventually coconnective algebraic stack. There exists an integer $d$ such that the following holds: \medskip If $\CM$ be an object of $\QCoh(\CY)$ such that for every field extension $k\subset k'$ and a $k'$-point $y$ of $\CY$, we have: $$i_y^*(\…",a53b939a6ce6fc4c6a6c30ed6ceab1510ffabe53e8afe3e1e944ef46254eb377,gaits1.tex,2469,2478
GLC1:remark:auto0027@L2595,GLC1,rem,remark,,,Geometric Langlands functor in the Betti context,,,"Note, however, that objects $\delta_y\in \Shv^{\on{Betti}}_{\frac{1}{2}}(\Bun_G)$ are \emph{not} compact, and that the category $\Shv^{\on{Betti}}_{\frac{1}{2}}(\Bun_G)$ itself is \emph{not} compactly generated.",f46c8a7df6967403c0b09996379194ef4f4fe5b33f62b2e60bf16f30fbf487d2,gaits1.tex,2595,2598
GLC1:proposition:auto0028@L2625,GLC1,prop,proposition,,,Geometric Langlands functor in the Betti context,,,The action of $\Rep(\cG)^{\on{Betti}}_\Ran$ on $\Shv^{\on{Betti}}_{\frac{1}{2}}(\Bun_G)$ factors via the localization \eqref{e:loc Betti}.,5991ebda0c3ca07dfc80e661734c26e16a03e2bd35643eadbef3837129c8c805,gaits1.tex,2625,2628
GLC1:remark:r:Kir,GLC1,rem,remark,,r:Kir,Geometric Langlands functor in the Betti context,,,"\label{r:Kir} Note that when $\sfe=\BC$, under the Riemann-Hilbert equivalence, the object $\on{exp}/\BG_m$ corresponds to the !-direct image of $\on{exp}$ along the projection $$\BG_a\to \BG_a/\BG_m.$$",8026f68431bb8dcb0afe973e8015ecc4dd43c00737a3f42df892112031db15bb,gaits1.tex,2651,2655
GLC1:remark:r:exp r/T,GLC1,rem,remark,,r:exp r/T,Geometric Langlands functor in the Betti context,,,"\label{r:exp r/T} It follows from Remark \ref{r:Kir} and the projection formula that when $\sfe=\BC$, under the Riemann-Hilbert equivalence, the object $(\underset{i}\boxtimes\, \on{exp})/T$ is the !-direct image along the projection $$\underset{i}\Pi\, \BG_a\to (\underset{i}\Pi\…",f4f44229881d3b177a8366417b7932c8e054fd38a57ed0df7049548d81f33081,gaits1.tex,2684,2692
GLC1:remark:r:exp chi/T,GLC1,rem,remark,,r:exp chi/T,Geometric Langlands functor in the Betti context,,,"\label{r:exp chi/T} It follows from Remark \ref{r:exp r/T} that when $\sfe=\BC$, under the Riemann-Hilbert equivalence, the object $\on{exp}_\chi/T$ corresponds to the !-direct image along the projection $$\Bun_{N,\rho(\omega_X)}\to \Bun_{N,\rho(\omega_X)}/T$$ of the object $$\on…",3a1adf8507b61d495e931ca6a7ae9bfea5c3c810353576d6f83b3e3db9bc9339,gaits1.tex,2716,2722
GLC1:proposition:p:Poinc Nilp comp,GLC1,prop,proposition,,p:Poinc Nilp comp,Geometric Langlands functor in the Betti context,,,"\label{p:Poinc Nilp comp} The object $\on{Poinc}^{\on{Vac,glob}}_{!,\Nilp}\in \Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)$ is compact.",01b560eea26a0ce863ea27299486004791b5eaf201a82e0ae27fc9a31162ab92,gaits1.tex,2738,2741
GLC1:theorem:t:compact to bdd below Betti,GLC1,thm,theorem,,t:compact to bdd below Betti,Geometric Langlands functor in the Betti context,,,"\label{t:compact to bdd below Betti} The functor $$\BL^{\on{Betti}}_{G,\on{coarse}}:\Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)\to \QCoh(\LS^{\on{Betti}}_\cG)$$ sends compact objects in $\Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)$ to bounded below objects in $\QCoh(\LS^{\on{…",47385c6c47452530a1da033d1308c51df936b99290346bfb8db06c9b47983ac0,gaits1.tex,2801,2806
GLC1:conjecture:c:GLC Betti,GLC1,conj,conjecture,,c:GLC Betti,Geometric Langlands functor in the Betti context,,,\label{c:GLC Betti} The functor $\BL^{\on{Betti}}_G$ of \eqref{e:L Betti} is an equivalence.,2a2a495c7cd0a8aa432d4476ff8199ac4f7855f07bfeee2e415cc1b924fcd624,gaits1.tex,2834,2836
GLC1:theorem:t:dR => Betti,GLC1,thm,theorem,,t:dR => Betti,Geometric Langlands functor in the Betti context,,,\label{t:dR => Betti} The de Rham version of GLC implies the Betti version.,421da1b062154b7575c70835494a17bccf5f98888dd827e7a648114bb03e0f78,gaits1.tex,2857,2859
GLC1:theorem:t:dR => Betti bis,GLC1,thm,theorem,,t:dR => Betti bis,Geometric Langlands functor in the Betti context,,,\label{t:dR => Betti bis} The following statements are logically equivalent: \smallskip \noindent{\em(i)} The functor $\BL_G$ is an equivalence. \smallskip \noindent{\em(i')} The functor $\BL_G^{\on{restr}}$ is an equivalence; \smallskip \noindent{\em(ii)} The functor $\BL^{\on{B…,77f7e0176ec2c9986bf4c052a6828977457463b91809ec11ec3f51b179feb602,gaits1.tex,2909,2928
GLC1:proposition:p:delta funs,GLC1,prop,proposition,,p:delta funs,Proof of \thmref{t:compact to bdd below Betti},,,"\label{p:delta funs} Objects of the form $$(\iota^{\on{Betti}})^R\circ \bi^L(\delta_y)\in \Shv^{\on{Betti,constr}}_{\frac{1}{2},\Nilp}(\Bun_G)$$ are bounded below.",aeaea14dfa25fdfb1cefa0719295e04b7f02b55b856f9ecfd79539a405bf6102,gaits1.tex,3023,3027
GLC1:proposition:p:L coarse left exact Nilp Betti,GLC1,prop,proposition,,p:L coarse left exact Nilp Betti,Proof of \thmref{t:compact to bdd below Betti},,,"\label{p:L coarse left exact Nilp Betti} The functor $\BL_{G,\on{coarse}}^{\on{Betti,restr}}[\dim(\Bun_G)-\dim(\Bun_{N,\rho(\omega_X)})]$ is t-exact.",30951340395e489cef93a64cb81815539cab53e107a5e6863f2789966bedb9ca,gaits1.tex,3029,3031
GLC1:remark:auto0039@L3033,GLC1,rem,remark,,,Proof of \thmref{t:compact to bdd below Betti},,,"When it comes to t-exactness properties, there is a substantial difference between the de Rham and Betti settings: one can show that the entire functor $$\BL_{G,\on{coarse}}^{\on{Betti}}[\dim(\Bun_G)-\dim(\Bun_{N,\rho(\omega_X)})]: \Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)\to…",3ad25b7a068e841b8d82a979fd8ce56ac097bca2f70b482befb426623dc1250c,gaits1.tex,3033,3039
GLC1:lemma:e:RH diag coarse,GLC1,lem,lemma,,e:RH diag coarse,Proof of \thmref{t:compact to bdd below Betti},,,"The diagram \begin{equation} \label{e:RH diag coarse} \CD \Dmod^{\on{RS}}_{\frac{1}{2},\Nilp}(\Bun_G) @>{\BL_{G,\on{coarse}}^{\on{restr}}}>> \QCoh(\LS^{\on{restr}}_\cG) \\ @V{\sim}VV @VV{\sim}V \\ \Shv^{\on{Betti,constr}}_{\frac{1}{2},\Nilp}(\Bun_G) @>{\BL_{G,\on{coarse}}^{\on{Be…",67ac175e41102a09d0476245edb4e90c8e4aeecb74517506ed10f22bcc00ad2d,gaits1.tex,3076,3086
GLC1:remark:auto0041@L3103,GLC1,rem,remark,,,Proof of \thmref{t:compact to bdd below Betti},,,There was no actual need to apply to Riemann-Hilbert in order to prove \propref{p:L coarse left exact Nilp Betti}: one could repeat the argument in \cite{FR} verbatim in the Betti setting.,686580edd5f2b53176c7b9a68b27e5a36408b1a9e300e5a85755982aabac456f,gaits1.tex,3103,3106
GLC1:lemma:l:Beil,GLC1,lem,lemma,,l:Beil,Proof of \thmref{t:compact to bdd below Betti},,,"\label{l:Beil} The functor $(\iota^{\on{Betti}})^R\circ \bi^L$, followed by $$\Shv^{\on{Betti,constr}}_{\frac{1}{2},\Nilp}(\Bun_G)\overset{\iota^{\on{Betti}}}\hookrightarrow \Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)\overset{\bi}\hookrightarrow \Shv^{\on{Betti}}_{\frac{1}{2}}(…",c60174a709aa3b8316a07daa475dc74354265b273f5d93567df35e80acc8aeec,gaits1.tex,3203,3208
GLC1:remark:e:forget constr,GLC1,rem,remark,,e:forget constr,Proof of \thmref{t:compact to bdd below Betti},,,"Note that the functor \begin{equation} \label{e:forget constr} \oblv^{\on{constr}}:\Shv^{\on{Betti,constr}}_{\frac{1}{2}}(\Bun_G) \to \Shv^{\on{Betti}}_{\frac{1}{2}}(\Bun_G) \end{equation} is not fully faithful. However, the composition $$\Shv^{\on{Betti,constr}}_{\frac{1}{2},\Ni…",bf4ae058464d4a0e3ab5253bcb9456dbab79f826af645bb0f90bd99ad100e12a,gaits1.tex,3235,3246
GLC1:remark:auto0044@L3343,GLC1,rem,remark,,,Restricted vs full GLC,,,"The implication (i') $\Rightarrow$ (i) was proved in \cite[Sect. 21.4]{AGKRRV}, under the assumption that the functor $\BL_G$ admits a left adjoint. \medskip We will prove that this is the case in one of the subsequent papers in this series\footnote{In fact, we will ultimately pr…",fcd6d2e76fc602ef39fa43ca0322a983e107d91f6e11936210afd1b9f6d3ca3c,gaits1.tex,3343,3354
GLC1:remark:auto0045@L3384,GLC1,rem,remark,,,Restricted vs full GLC,,,"The definition of $\Dmod_{\frac{1}{2}}(\Bun_G)_{\on{temp}}$ in {\it loc. cit.} depended on the choice of a point $x\in X$, and independence of the point was conjectural. This conjecture was established by Beraldo (unpublished) and later by Faegerman-Raskin by a different method (…",ea90116b339e1e57aca03caebd1aefa6ba9393e937b87fbdc06af1e6df4677e6,gaits1.tex,3384,3394
GLC1:remark:r:L temp,GLC1,rem,remark,,r:L temp,Restricted vs full GLC,,,"\label{r:L temp} One can avoid appealing to \cite{FR} for the proof of ``$\BL^{\on{restr}}_G$ is an equivalence"" $\Rightarrow$ ``$\BL^{\on{restr}}_{G,\on{temp}}$ is an equivalence"". \medskip Indeed, it is not difficult to show that the functor $\BL_G$ respects the action of the f…",b5840b831722451360c1966b88cd569da51a755a0c2dde713f3e8c5e794a4deb,gaits1.tex,3478,3497
GLC1:remark:auto0047@L3499,GLC1,rem,remark,,,Restricted vs full GLC,,,"In \secref{ss:temp to all} we will prove an inverse implication (which is far less trivial): the fact that $\BL_{G,\on{temp}}$ is an equivalence implies that $\BL_G$ is an equivalence. \medskip The same argument will show that if $\BL^{\on{restr}}_{G,\on{temp}}$ is an equivalence…",0b8eb2433e7ba5b8a7a18bad9351d44f4679057cef4f5307c404bf6c2b860c47,gaits1.tex,3499,3509
GLC1:remark:auto0048@L3520,GLC1,rem,remark,,,Restricted vs full GLC,,,"Both deductions: $$\text{Full tempered GLC}\, \Rightarrow \text{Restricted tempered GLC},$$ carried out above, and $$\text{Full GLC}\, \Rightarrow \text{Restricted GLC},$$ carried out in \cite[Sect. 21.4]{AGKRRV}, follow the same logic, and both need that the corresponding versio…",bfa40778bd28836baf5a161a606a271ccd8551665f52b83e41549b8cc6070d34,gaits1.tex,3520,3529
GLC1:proposition:p:uR ff on compacts,GLC1,prop,proposition,,p:uR ff on compacts,Restricted vs full GLC,,,\label{p:uR ff on compacts} The functor $$\bu^R|_{\Dmod_{\frac{1}{2}}(\Bun_G)^c}:\Dmod_{\frac{1}{2}}(\Bun_G)^c\to \Dmod_{\frac{1}{2}}(\Bun_G)_{\on{temp}}$$ is fully faithful.,4f6bb0a258c677aed90f0eea85a8f4d9b6e798fcb585e0c6f9f9d425a39b6f2a,gaits1.tex,3575,3579
GLC1:proposition:p:images,GLC1,prop,proposition,,p:images,Restricted vs full GLC,,,"\label{p:images} Assume that $\BL_{G,\on{temp}}$ is an equivalence (for the group $G$ and all its Levi subgroups). Then the essential image of $\Dmod_{\frac{1}{2}}(\Bun_G)^c$ in $\QCoh(\LS_\cG)$ of $\Dmod_{\frac{1}{2}}(\Bun_G)^c$ under $$\BL_{G,\on{temp}}\circ \bu^R\simeq \BL_{G,…",29e35fd4c792908a9f71205152c5585b234e4b665c5adda766148b808c6e7fea,gaits1.tex,3581,3586
GLC1:lemma:l:temp and Eis gen,GLC1,lem,lemma,,l:temp and Eis gen,Restricted vs full GLC,,,\label{l:temp and Eis gen} The objects in $$\left(\Dmod_{\frac{1}{2}}(\Bun_G)_{\on{temp}}\right)^c \text{ and } \left(\Dmod_{\frac{1}{2}}(\Bun_G)_{\Eis}\right)^c$$ generate $\Dmod_{\frac{1}{2}}(\Bun_G)$.,8e222fc07dae7f5059476fd6b7d55d50e9d5ab7588c5298c9f337d3729547c60,gaits1.tex,3712,3716
GLC1:lemma:l:Eis,GLC1,lem,lemma,,l:Eis,Restricted vs full GLC,,,"\label{l:Eis} For a given parabolic subgroup $P$ with Levi quotient $M$, the diagram $$ \CD \Dmod_{\frac{1}{2}}(\Bun_M) @>{\BL_{M,\on{coarse}}}>> \QCoh(\LS_\cM) \\ @V{\Eis_!}VV @VV{\Eis^{\on{spec}}_{\on{coarse}}}V \\ \Dmod_{\frac{1}{2}}(\Bun_G) @>{\BL_{G,\on{coarse}}}>> \QCoh(\LS…",9d428b216ae5a5ee0cb45948264c63bf19a274d1d1759421bb6cb6ae6ad22dc8,gaits1.tex,3798,3809
GLC1:proposition:p:uR ff on compacts Betti,GLC1,prop,proposition,,p:uR ff on compacts Betti,Restricted vs full GLC,,,"\label{p:uR ff on compacts Betti} The functor $$\bu^R|_{\Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)^c}:\Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)^c\to \Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)_{\on{temp}}$$ is fully faithful.",b7cd48a05ae491eb436f9db7c7c9d5f5b33383c4ae2e87274c86548070b5b921,gaits1.tex,3836,3841
GLC1:proposition:p:images Betti,GLC1,prop,proposition,,p:images Betti,Restricted vs full GLC,,,"\label{p:images Betti} Assume that $\BL^{\on{Betti}}_{G,\on{temp}}$ is an equivalence (for the group $G$ and all its Levi subgroups). Then the essential image of $\Shv^{\on{Betti}}_{\frac{1}{2},\Nilp}(\Bun_G)^c$ in $\QCoh(\LS^{\on{Betti}}_\cG)$ under $$\BL^{\on{Betti}}_{G,\on{tem…",cf5a2a8c0aaa799c1d557939aca4f30bb6ec41e79abce71284b65d6ea8df9bfc,gaits1.tex,3843,3849
GLC1:theorem:t:eigensheaves,GLC1,thm,theorem,,t:eigensheaves,The structure of Hecke eigensheaves,Statement of the main result,,"\label{t:eigensheaves} As above, let $\sigma$ be an irreducible local system and assume the geometric Langlands conjecture. \begin{enumerate} \item\label{i:eigen-rs} $\CF_{\sigma}$ is holonomic and has regular singularities. \item\label{i:eigen-nilp} The singular support of $\CF_…",e0eaebc7a568f236c5ededd13e7010b7767c51e22de853ca5eda4e49b42bfc3f,gaits1.tex,3983,4041
GLC1:remark:auto0056@L4059,GLC1,rem,remark,,,The structure of Hecke eigensheaves,Statement of the main result,,"We note that one can check directly that the multiplicity of the zero section in $[\Nilp]$ is $\prod_{d_i \geq 2} d_i^{\dim \Gamma(\Omega_X^{1,\otimes d_i})} = \prod d_i^{(2d_i-1)(g-1)}$ for $d_i$ running over the exponents of $G$; it follows that this is the rank of $\CF_{\sigma…",50603b79c0f067a6f5c533ec40cc420b41f220daf3afa8aea078153cdae7f620,gaits1.tex,4059,4067
GLC1:theorem:t:cc-cts,GLC1,thm,theorem,,t:cc-cts,The structure of Hecke eigensheaves,Characteristic cycles for eigensheaves,Idea of the proof,"\label{t:cc-cts} For every pair of irreducible local systems $\sigma_1,\sigma_2 \in \LS_{\cG}$ lying in the same irreducible component of $\LS_{\cG}$, $\on{CC}(\CF_{\sigma_1}) = \on{CC}(\CF_{\sigma_2})$.",f554c2bf174e79c0a46ada7152e4420c4562862f7909b0d6cd902ce9f1fee40e,gaits1.tex,4168,4175
GLC1:theorem:t:cc-existence,GLC1,thm,theorem,Beilinson-Drinfeld,t:cc-existence,The structure of Hecke eigensheaves,Characteristic cycles for eigensheaves,Idea of the proof,"\label{t:cc-existence} Let $\LS_{\cG,\on{neut}} \subset \LS_{\cG}$ be the irreducible component of $\LS_{\cG}$ containing the trivial local system. Then there exists an irreducible local system $\sigma \in \LS_{\cG,\on{neut}}$ such that $\on{CC}(\CF_{\sigma}) = [\Nilp]$.",645f7490408dc0a2ad176c6c17be3e778654ee861ec219c3618e7602b8e1a424,gaits1.tex,4179,4186
